PatientAccessionIdentifier,NHSNumber,HospitalNumber,PatientFamilyName,PatientGivenName,DateOfBirth,AdministrativeSex,PostCode,HospitalSpellIdentifier,OrderingProviderIdentifier,OrderingProviderName,RequestingOrganisationCode,RequestingOrganisationName,PlacerOrderNumber,FMIIdentifier,FillerOrderNumber,OrderStatus,ReportStatusDateTime,ReportIdentifier,NGTDTestCode,NGTDTestName,TestCode,TestAccessionIdentifier,TestOrderDate,ObservationResultStatus,ObservationDateTime,ObservationIdentifierCode,ObservationIdentifierDescription,SpecimenTakenDateTime,SpecimenReceivedDateTime,SpecimenAccessionIdentifier,SpecimenTypeCode,SpecimenTypeDescription
200000,9737383192,R0A4990415,MANCHESTER,Sansa,1972-09-21,Female,M13 9PL,,SH_RPT,Dr Ross Pettifer,R0A,Manchester University NHS Foundation Trust,P26-B5KG,,T26-S3BH,Testing,04 Jun 2026 20:00,R26-1OXF,M3.13,"PACKAGE: M3.13 - Breast Cancer, Multi-target ctDNA NGS panel - small variant (ESR1)",ctDNA_M3,T26-S3BH,25 May 2026 11:00,F,03 Jun 2026 10:00,,,25 May 2026 19:00,27 May 2026 05:00,S26-Q1H8,BL,Blood
200001,9737873971,RTR2920101,MIDDLESBOROUGH,Allanys,1947-04-27,Female,TS1 2BX,,SH_AMK,Dr Amelia Kinnear,RTR,South Tees Hospitals NHS Foundation Trust,P26-K92M,,T26-LB51,Testing,01 May 2026 14:00,R26-I94I,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-LB51,18 Apr 2026 08:00,F,30 Apr 2026 06:00,,,19 Apr 2026 07:00,20 Apr 2026 19:00,S26-XGH3,BL,Blood
32737,9737383222,RR83108802,LEEDS,Rob,1978-01-17,Male,LS1 3EX,,SH_JJE,Dr Jonathan Edgerley,RR8,Leeds Teaching Hospitals NHS Trust,P26-O995,,T26-BNU7,Testing,25 Apr 2026 11:00,R26-1N0H,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-BNU7,12 Apr 2026 16:00,F,25 Apr 2026 10:00,,,12 Apr 2026 19:00,13 Apr 2026 05:00,S26-W44B,BL,Blood
200003,9737383362,RNN1799141,BROUGH,Gilly,1989-07-01,Female,HU15 1EG,SP26-00001,SH_JJE,Dr Jonathan Edgerley,RNN,North Cumbria Integrated Care NHS Foundation Trust,P26-XG0V,,T26-6YH2,Testing,08 Jun 2026 20:00,R26-XWMH,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-6YH2,26 May 2026 17:00,F,08 Jun 2026 00:00,,,27 May 2026 06:00,28 May 2026 23:00,S26-1U3U,BL,Blood
200004,9737383370,RXR6078306,BLACKBURN,Robert,1965-01-14,Male,BB1 5AR,,SH_AMK,Dr Amelia Kinnear,RXR,East Lancashire Hospitals NHS Trust,P26-E144,,T26-P5QZ,Testing,04 Feb 2026 05:00,R26-S7KC,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-P5QZ,21 Jan 2026 17:00,F,03 Feb 2026 08:00,,,23 Jan 2026 11:00,25 Jan 2026 04:00,S26-UXI5,BL,Blood
200004,9737383370,RXR6078306,BLACKBURN,Robert,1965-01-14,Male,BB1 5AR,,SH_AMK,Dr Amelia Kinnear,RXR,East Lancashire Hospitals NHS Trust,P26-OY4C,,T26-SJFH,Testing,12 Feb 2026 10:00,R26-I5EM,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-SJFH,02 Feb 2026 13:00,F,10 Feb 2026 22:00,,,03 Feb 2026 16:00,04 Feb 2026 21:00,S26-BR7R,BL,Blood
200006,9737383214,RTX7565482,LANCASTER,Jaime,1970-07-27,Male,LA1 1RP,,SH_LDW,Dr Leah Woodford,RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,P26-6UYR,,T26-CJSF,Testing,22 May 2026 11:00,R26-XRY1,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-CJSF,07 May 2026 16:00,F,21 May 2026 21:00,,,08 May 2026 19:00,09 May 2026 09:00,S26-ELY7,BL,Blood
200007,9737383413,R0A3594349,STREFORD,Syrio,1992-05-29,Male,M32 0JR,,SH_AMK,Dr Amelia Kinnear,R0A,Manchester University NHS Foundation Trust,P26-8H11,,T26-7XUM,Testing,30 Apr 2026 14:00,R26-D6P9,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-7XUM,19 Apr 2026 08:00,F,29 Apr 2026 12:00,,,20 Apr 2026 02:00,20 Apr 2026 12:00,S26-0VOH,BL,Blood
200008,9737383389,RXR5797566,BURNLEY,Selyse,1967-09-18,Female,BB10 2PQ,,SH_AMK,Dr Amelia Kinnear,RXR,East Lancashire Hospitals NHS Trust,P26-X7T2,,T26-KWGZ,Testing,30 Jun 2026 05:00,R26-XK6Q,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-KWGZ,20 Jun 2026 17:00,F,29 Jun 2026 09:00,,,21 Jun 2026 08:00,23 Jun 2026 06:00,S26-RM5K,BL,Blood
200009,9737873882,RAE9191583,BRADFORD,Rodrik,1942-09-20,Male,BD9 6RJ,,SH_RPT,Dr Ross Pettifer,RAE,Bradford Teaching Hospitals NHS Foundation Trust,P26-31HP,,T26-NDO7,Testing,02 May 2026 22:00,R26-1HDA,M4.14,"PACKAGE: M4.14 - Non-Small Cell Lung Cancer, Multi-target ctDNA combined Multi-target NGS panel - small variant (EGFR, ALK, BRAF, KRAS, MET exon 14 skipping and copy number variations) and structural variant (ROS1, RET, ALK, NTRK1, NTRK2, NTRK3, MET exon ",ctDNA_M4,T26-NDO7,22 Apr 2026 09:00,F,02 May 2026 03:00,,,22 Apr 2026 18:00,23 Apr 2026 02:00,S26-M6FB,BL,Blood
