NHS Number,Surname,Forename,Middle name,Other Name,Gender,Date Of Birth,Deceased,GP Surgery,Address line 1,Address line 2,Address line 3,Address line 4,Address line 5,Postcode
944 930 5552,CHISLETT,Octavia,,,F,20/09/2008,,,1 RAVENSFIELD GARDENS,,,EPSOM,SURREY,KT19 0ST
9737383192,MANCHESTER,Sansa,,,F,21/09/1972,,P84673,Oxford Rd,,,MANCHESTER,,M13 9PL
9737383206,LIVERPOOL,Ned,,,M,18/06/1942,,N82035,20 Forthlin Road,,,LIVERPOOL,,L18 9TN
9737383214,LANCASTER,Jaime,,M,27/07/1970,,P81002,Dalton Square,,,,LANCASTER,,LA1 1PJ
9737383230,LONDON,Cersei,,Cersei LANCASTER (maiden),F,03/10/1973,,F83004,110 The Queen's Walk,,,LONDON,,SE1 2AA
9737383249,BIRMINGHAM,Tommen,,,M,07/09/1999,,M85124,Victoria Square,,,BIRMINGHAM,,B3 3DQ
9737383257,WREXHAM,Myrcella,,,F,13/10/1999,,Future: W91022 Current: N81082,"Ffordd, Mold Rd",Mold,,WREXHAM,,LL11 2AH
9737383265,NOTTINGHAM,Lyarra,,,F,05/01/1924,✅,C81010,,,,,,NG10 1NP
9737383273,BOLTON,Ramsay,,Ramsay ROCHDALE (old),M,13/05/1985,,P84673,Victoria Sq,,,BOLTON,,BL1 1RU
9737383281,CONGLETON,Margaery,,,F,11/02/1982,,N81027,Town Hall,7 High Street,,CONGLETON,,CW12 1BN
9737383303,WARRINGTON,Olennas,,,F,20/07/1938,✅,,,,,,,
9737383311,NORTHWICH,Mace,,,M,19/01/1957,,N81087,Apple Market St,,,Northwich,,CW9 5BB
9737383338,BUXTON,Lysa,,,F,01/01/1971,,C81065,Market Place,,,Buxton,,SK17 6EL
9737383346,HAWES,Ygritte,,,F,09/02/2023,,B82045,Market Place,,,Hawes,,DL8 3QN
9737383354,KENDAL,Tormund,,,M,07/12/1978,,A82025,9a Lowther St,,,Kendal,,LA9 4DA
9737383362,BROUGH,Gilly,,,F,01/07/1989,,A82038,Townhead House,Brough,Sowerby,KIRKBY STEPHEN,,CA17 4EG
9737383370,BLACKBURN,Robert,,,M,14/01/1965,,Y02657,King William Street,,,Blackburn,Lancashire,BB1 7DY
9737383389,BURNLEY,Selyse,,,F,18/09/1967,,Y00206,Manchester Road,,,Burnley,Lancashire,BB11 9SA
9737383397,TAMESIDE,Hodor,,,M,27/07/1960,,P89020,Stockport Road,,,Tameside,,OL7 0NS
